0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128
-0.19,0.05,-0.08,0.1,0.1,0.16,-0.06,-0.37,-0.26,0.33,0.13,-0.15,-0.13,-0.5,0.17,0.22,0.36,0.08,-0.65,-0.2,0.15,0.84,-0.2,-0.11,-0.16,0.18,-0.3,0.13,0.47,0.34,0.56,0.2,0.17,0.4,-0.22,-0.1,-0.17,-0.27,-0.07,-0.19,0.02,0.0,0.45,0.23,0.23,0.14,0.08,0.65,-0.0,-0.55,1.06,-0.83,0.37,0.34,0.55,0.23,-0.21,0.05,0.11,0.8,0.53,-0.52,0.25,0.08,-0.95,0.05,0.25,-1.5,0.45,0.32,0.07,-0.6,-0.96,-0.77,-1.02,0.1,-1.0,0.3,-0.33,0.28,0.27,0.81,1.15,-0.17,0.23,0.66,1.4,0.17,0.1,-0.05,0.22,0.05,-0.12,0.4,0.24,1.48,-0.07,1.06,1.87,0.19,-0.62,0.21,0.23,-0.07,0.23,-0.29,0.35,-0.08,-0.0,-0.37,0.22,0.18,0.72,0.38,0.1,0.34,0.04,-0.3,0.04,-0.15,0.05,-0.05,0.09,-0.2,0.1,-0.07,-0.05,-2.23,0.6
-0.26,-0.24,0.05,0.0,0.12,0.25,-0.05,-0.65,0.06,-0.07,0.38,-0.3,-0.77,-0.31,0.11,0.08,-0.02,-0.06,-0.2,0.19,0.23,-0.08,-0.02,0.07,-0.08,0.1,0.28,-0.08,-0.34,0.08,0.52,0.08,-0.02,0.12,-0.59,-0.01,-0.15,0.12,0.06,-0.2,0.02,0.15,-0.68,-0.01,0.15,0.18,0.04,-0.7,-0.02,0.1,-0.24,0.37,0.3,0.25,-0.03,0.52,-0.07,0.07,-0.04,0.09,0.54,0.46,0.18,0.5,0.5,-0.53,0.12,-0.4,0.5,-0.3,0.19,0.09,0.45,-0.4,-1.72,-0.7,-1.28,0.0,0.44,0.78,-1.11,-1.45,-0.41,0.39,0.22,1.43,-0.82,0.25,-0.26,0.17,0.13,-0.11,-0.32,-0.38,-0.1,-2.69,0.18,0.35,-2.31,-0.53,-0.68,0.25,-0.21,0.22,-0.32,0.47,0.08,0.21,0.2,0.14,0.33,0.14,0.36,0.08,0.0,-0.03,0.29,0.2,-0.05,0.07,0.14,-0.06,0.09,-0.03,0.24,-0.1,0.06,-1.99,-0.18
-0.04,0.29,-0.02,-0.03,-0.02,0.05,-0.22,-0.1,0.11,-0.23,-0.18,0.07,0.03,-0.52,0.04,-0.32,-0.14,0.09,0.38,0.09,-0.46,0.14,0.08,0.38,0.12,0.15,0.51,-0.12,-0.09,0.33,1.67,0.23,-0.08,-0.74,-0.05,-0.43,-0.01,0.07,0.03,0.25,0.19,0.06,-0.15,-0.46,0.63,0.05,0.41,-0.02,-0.03,-0.05,-1.29,-0.44,0.41,0.53,-0.32,-0.25,0.09,-0.06,0.12,-0.3,-1.14,0.54,-0.17,0.42,-0.28,0.3,-0.04,-1.24,-0.13,0.43,0.07,0.16,0.02,0.64,-1.53,-4.62,-0.7,0.45,0.26,-0.54,0.44,0.4,0.05,0.3,-0.23,-5.83,-1.85,0.33,-0.04,0.23,-0.06,0.39,0.04,-0.04,0.1,0.71,0.26,-0.52,0.74,0.23,0.5,0.17,-0.27,0.13,0.31,0.19,0.28,0.22,0.2,0.45,0.1,0.34,0.33,0.18,-0.1,-0.15,0.22,0.4,0.05,-0.07,0.26,-0.02,-0.06,-0.02,0.2,-0.2,0.07,-0.5,-0.35
-0.26,-0.34,-0.0,0.28,0.2,0.09,0.02,0.1,0.04,-0.05,0.11,0.24,-0.18,0.1,0.09,-0.03,0.1,0.05,-0.35,0.76,1.76,0.34,0.09,-0.27,-0.34,-0.3,-0.58,0.22,0.01,-0.09,0.1,0.15,0.3,0.26,-0.2,0.14,0.05,0.02,-0.03,0.38,0.14,-0.19,-0.12,0.1,-0.7,0.06,-0.6,-0.1,-0.02,-0.15,-0.4,0.13,-0.29,0.43,0.54,0.2,-0.0,-0.02,0.69,0.05,-1.05,-0.45,-0.15,-0.1,-0.18,-0.37,0.07,-0.62,0.41,-0.4,0.02,0.24,-0.28,0.01,-0.1,7.86,0.54,-0.65,0.89,0.11,-0.0,0.04,-1.61,0.4,0.26,0.48,0.7,-0.1,0.05,0.6,0.04,0.22,0.46,0.09,0.03,-1.12,0.28,0.9,-0.93,0.74,0.3,0.03,0.28,0.07,-0.04,-0.16,0.29,-0.1,0.55,-0.4,-0.08,0.46,0.04,0.15,-0.11,-0.05,0.22,0.17,-0.31,0.1,0.1,-0.09,-0.01,0.07,-0.09,-0.07,0.2,0.1,-0.07
0.15,-0.76,0.01,-0.25,0.05,0.11,-0.07,-0.17,0.05,-0.05,-0.08,0.24,-0.03,-0.26,0.15,0.17,-0.19,-0.29,-1.28,0.09,-3.94,-0.02,0.07,0.35,-0.03,0.37,-0.02,-0.04,0.22,0.29,2.41,0.3,0.11,-0.02,0.07,-0.06,0.05,0.02,-0.15,-0.27,0.45,-0.1,-0.03,0.01,0.05,0.02,-0.1,0.05,-0.13,0.25,-0.55,0.08,-0.47,-1.45,-1.27,0.05,0.1,0.08,0.28,0.47,-0.97,-0.99,0.09,0.47,-0.16,0.0,-0.03,-0.14,-0.28,-0.35,-0.2,0.33,-0.17,-0.98,-1.16,0.09,0.98,0.73,-0.15,0.74,0.52,-0.09,0.0,0.1,0.63,-0.52,-0.69,0.09,0.13,-0.25,0.14,0.1,1.39,-1.3,-0.15,0.25,0.05,1.1,-0.53,-0.03,-0.9,0.5,0.07,-0.08,-0.42,-0.4,0.28,0.06,-0.77,-0.1,0.28,1.05,-0.5,0.15,0.06,0.04,0.43,-0.37,0.51,0.15,0.03,0.09,0.11,0.0,-0.28,0.02,-0.14,-0.34,0.3
0.15,-0.49,-0.04,0.1,-0.09,0.23,0.22,-0.04,0.06,0.03,0.39,0.32,0.13,0.26,0.22,0.23,-0.2,0.22,-0.2,-0.6,-1.71,-0.75,-0.12,0.09,0.3,0.23,0.33,0.41,0.1,0.34,-3.72,0.03,-0.21,-0.58,0.08,-0.12,0.18,0.09,0.23,-0.24,0.37,-0.04,0.17,-0.06,0.21,0.14,-0.13,0.04,0.0,-0.09,0.53,-0.38,0.02,0.12,0.18,-0.11,0.18,-0.12,0.2,-0.01,-0.54,0.34,0.05,-0.17,0.17,0.15,0.03,-0.01,-1.03,0.0,0.38,0.31,0.17,-0.41,-1.89,6.57,1.38,-0.34,0.59,0.67,0.36,0.33,-0.91,0.1,0.62,-0.3,0.12,0.44,0.22,0.78,-0.03,-0.48,-0.02,0.31,0.21,0.0,0.69,-2.93,-0.97,0.32,-0.55,0.65,0.23,0.27,-0.89,0.34,-0.01,-0.09,0.34,0.1,0.37,-0.46,0.27,0.16,0.1,0.01,-0.1,-0.13,-0.24,0.08,-0.33,0.16,0.06,0.0,0.19,-0.05,0.01,0.26,0.05
-0.1,-0.01,-0.37,0.02,-0.24,0.0,0.18,0.06,-0.11,-0.18,-0.15,0.01,0.15,0.35,0.17,0.35,0.17,0.07,-0.1,-0.31,-0.74,0.22,0.35,0.33,0.4,0.24,-0.03,-0.2,0.07,-0.21,-0.04,0.09,-0.12,0.08,0.2,0.17,0.19,-0.1,0.18,-0.1,0.04,0.09,-0.05,0.23,0.06,-0.08,0.27,0.0,-0.13,0.12,0.44,-1.4,-0.11,0.03,-0.35,-0.34,0.38,0.1,-0.5,0.06,0.19,-0.15,0.29,-0.75,0.37,-0.28,0.2,0.31,0.15,-0.05,0.13,0.15,0.03,-0.11,-0.58,1.45,0.05,0.9,0.06,-0.24,-0.39,0.25,0.08,0.0,-0.05,0.32,0.11,-0.63,0.27,0.65,0.2,0.25,-0.6,0.46,0.08,-2.07,0.24,-0.67,0.81,0.3,-1.67,-0.35,0.7,0.26,0.61,-1.35,0.37,0.18,-0.17,0.3,-0.12,-0.24,0.05,-0.7,0.08,0.09,-0.04,0.03,-0.14,0.09,0.21,0.11,-0.03,0.2,0.44,0.03,-0.05,0.48,-0.38
0.1,0.1,0.0,0.12,0.03,0.15,0.04,0.22,-0.05,-0.1,0.08,0.02,0.2,0.11,0.22,0.33,0.06,0.0,0.08,0.26,-0.34,-0.15,0.1,0.15,0.08,-0.55,0.38,0.13,0.25,0.0,-0.51,0.28,-0.18,0.8,0.18,0.05,0.03,-0.25,0.02,-0.25,-0.06,0.13,-0.15,-0.03,0.06,0.14,-0.24,0.14,0.05,0.02,-0.24,0.14,-0.24,-0.28,0.16,0.13,-0.01,0.3,-0.05,0.26,-0.03,0.0,0.06,-0.05,-0.4,0.14,0.07,-0.11,0.03,0.3,0.17,-0.13,0.1,0.18,-0.42,-3.85,1.3,-0.14,-0.01,-0.23,0.02,0.29,0.15,0.25,-1.24,0.85,0.08,0.04,-0.09,-1.33,0.5,-0.02,-0.05,0.9,-0.17,-0.03,1.09,-1.08,1.01,0.07,-0.48,-1.5,0.12,0.17,0.25,-0.04,-0.11,0.26,0.44,-0.25,0.24,0.19,0.08,-0.17,0.12,-0.01,0.18,-0.7,-0.02,0.03,0.14,0.09,0.35,0.15,-0.45,0.02,0.05,-0.28,-0.21
0.36,0.12,0.2,0.34,0.14,0.05,-0.07,0.08,0.2,-0.05,0.09,0.09,0.1,0.37,0.13,0.17,-0.05,0.12,0.17,-0.11,0.21,-0.12,-0.42,0.29,-0.35,0.01,0.44,0.16,-0.04,0.13,0.21,0.15,0.12,0.03,0.32,0.18,0.25,0.18,0.15,-0.17,0.0,0.25,-0.09,0.18,0.49,-0.24,-0.05,0.2,0.06,-0.12,0.2,0.46,0.02,-0.15,-0.19,0.11,-0.26,0.38,-0.09,-0.52,-0.47,0.26,0.23,-0.01,-0.14,0.38,0.02,0.13,0.52,0.1,-0.09,-0.1,0.06,-0.06,0.15,1.25,0.4,-0.1,0.31,0.13,0.41,-0.47,-0.07,0.4,-0.41,0.0,0.28,-0.24,0.16,0.28,0.87,1.4,-0.31,0.36,-0.01,-0.09,-1.12,-0.53,-0.75,0.5,0.3,0.73,0.08,-0.06,-0.22,-0.42,0.15,0.25,-0.02,-0.17,-0.04,1.36,0.15,0.05,0.2,0.17,0.18,-0.2,-0.45,0.05,-0.01,-0.14,-0.02,0.04,0.09,-0.07,0.25,-0.67,0.21
-0.01,-0.09,-0.1,-0.06,0.18,0.07,0.07,0.42,-0.1,-0.32,0.81,-0.09,0.65,-0.16,-0.05,0.07,0.29,0.04,0.05,0.01,-0.14,-0.33,0.07,-0.32,-0.05,-0.38,0.54,0.14,0.32,-0.12,0.21,0.1,0.03,0.1,0.15,0.15,-0.04,-0.05,0.13,-0.14,-0.01,0.55,-0.03,0.02,0.2,0.19,-0.08,-0.07,-0.08,-0.18,-0.53,-1.03,0.18,0.33,-0.2,0.06,0.3,-0.11,-0.67,0.07,-0.17,-0.01,0.09,0.16,0.1,-0.24,0.16,0.29,0.73,0.23,0.11,0.25,-0.09,-0.05,-0.07,-5.35,-1.35,1.05,-0.35,0.17,0.4,1.08,0.15,1.08,0.65,-0.37,0.71,0.7,0.03,0.65,-0.23,0.95,-0.25,0.9,0.64,-0.22,-0.07,-0.56,-1.91,0.1,0.27,0.7,0.2,0.08,-0.77,-0.28,0.12,0.06,-0.1,-0.05,-0.29,-0.6,0.23,-0.12,-0.05,0.05,0.41,0.05,0.65,0.03,-0.14,-0.14,-0.33,0.11,0.26,0.02,-0.03,0.1,0.25
-0.05,0.28,0.23,-0.27,0.17,-0.1,-0.2,-0.41,0.22,0.02,0.35,-0.17,0.1,0.01,0.17,0.03,0.03,0.09,0.23,0.04,0.03,0.18,0.23,-0.32,0.55,-0.2,0.28,0.3,-0.1,-0.03,0.56,0.2,0.21,0.47,-0.06,0.12,0.11,0.3,0.09,0.12,-0.04,0.2,0.14,0.05,0.05,0.13,0.06,0.09,-0.1,-0.13,-0.23,0.25,0.3,0.0,-0.0,0.15,0.18,-0.07,-0.24,0.14,0.21,0.28,-0.39,-0.05,0.27,0.25,-0.01,0.02,0.35,-0.12,0.13,0.17,-0.02,0.05,0.11,-0.75,-1.45,1.37,0.58,0.43,-0.15,-1.36,-0.53,-0.09,0.93,0.42,0.22,-0.16,-0.41,1.12,-0.51,-2.5,-0.04,-2.08,-0.2,-0.09,0.4,-0.28,-0.62,-0.05,-0.12,0.62,-0.33,0.3,-0.26,0.39,0.17,0.14,0.52,0.46,-0.33,0.35,0.21,0.18,-0.2,0.01,-0.18,-0.06,0.15,0.02,0.1,0.06,0.05,0.0,0.65,0.15,0.03,0.17,0.29
